WTeamID,WScore,LTeamID,LScore,WLoc,W_Conf,L_Conf
Abilene Christian,74,Lamar,62,A,Southland Conference,Southland Conference
McNeese St.,88,Abilene Christian,84,A,Southland Conference,Southland Conference
Abilene Christian,68,Texas A&M-Corpus Christi,56,H,Southland Conference,Southland Conference
Abilene Christian,76,Southeastern Louisiana,55,H,Southland Conference,Southland Conference
Sam Houston St.,82,Abilene Christian,76,H,Southland Conference,Southland Conference
Abilene Christian,70,Central Arkansas,69,A,Southland Conference,Southland Conference
Stephen F. Austin,71,Abilene Christian,61,H,Southland Conference,Southland Conference
Abilene Christian,72,Incarnate Word,58,H,Southland Conference,Southland Conference
Northwestern St.,73,Abilene Christian,69,H,Southland Conference,Southland Conference
Abilene Christian,84,Lamar,49,H,Southland Conference,Southland Conference
Abilene Christian,81,Houston Baptist,67,H,Southland Conference,Southland Conference
Abilene Christian,78,Texas A&M-Corpus Christi,64,A,Southland Conference,Southland Conference
Abilene Christian,82,Houston Baptist,68,A,Southland Conference,Southland Conference
Abilene Christian,75,Southeastern Louisiana,69,A,Southland Conference,Southland Conference
Abilene Christian,85,Sam Houston St.,69,H,Southland Conference,Southland Conference
Abilene Christian,75,Central Arkansas,70,H,Southland Conference,Southland Conference
Stephen F. Austin,77,Abilene Christian,72,A,Southland Conference,Southland Conference
Abilene Christian,71,Incarnate Word,68,A,Southland Conference,Southland Conference
Idaho St.,89,Air Force,79,A,Big Sky Conference,Mountain West Conference
Air Force,78,Texas St.,71,H,Mountain West Conference,Sun Belt Conference
Air Force,69,Army,57,A,Mountain West Conference,Patriot League
Texas Christian,65,Air Force,54,H,Big 12 Conference,Mountain West Conference
Loyola Marymount,78,Air Force,64,N,West Coast Conference,Mountain West Conference
Duquesne,69,Air Force,63,N,Atlantic 10 Conference,Mountain West Conference
Indiana St.,84,Air Force,74,N,Missouri Valley Conference,Mountain West Conference
Air Force,76,Jackson St.,52,H,Mountain West Conference,Southwestern Athletic Conference
Air Force,86,Wyoming,77,A,Mountain West Conference,Mountain West Conference
Nevada,100,Air Force,85,A,Mountain West Conference,Mountain West Conference
Air Force,79,Denver,75,A,Mountain West Conference,The Summit League
Drake,85,Air Force,80,A,Missouri Valley Conference,Mountain West Conference
Air Force,105,UC-Riverside,56,H,Mountain West Conference,Big West Conference
Nevada-Las Vegas,71,Air Force,59,H,Mountain West Conference,Mountain West Conference
Air Force,79,Utah St.,60,H,Mountain West Conference,Mountain West Conference
New Mexico,84,Air Force,78,H,Mountain West Conference,Mountain West Conference
Air Force,85,Boise St.,78,H,Mountain West Conference,Mountain West Conference
Colorado St.,78,Air Force,65,A,Mountain West Conference,Mountain West Conference
Utah St.,72,Air Force,47,H,Mountain West Conference,Mountain West Conference
San Jose St.,90,Air Force,81,H,Mountain West Conference,Mountain West Conference
Fresno St.,79,Air Force,68,A,Mountain West Conference,Mountain West Conference
Nevada,88,Air Force,54,H,Mountain West Conference,Mountain West Conference
San Diego St.,89,Air Force,74,A,Mountain West Conference,Mountain West Conference
Boise St.,74,Air Force,57,H,Mountain West Conference,Mountain West Conference
Air Force,95,San Jose St.,86,H,Mountain West Conference,Mountain West Conference
Fresno St.,71,Air Force,62,H,Mountain West Conference,Mountain West Conference
Wyoming,78,Air Force,72,A,Mountain West Conference,Mountain West Conference
Air Force,60,New Mexico,58,H,Mountain West Conference,Mountain West Conference
Colorado St.,87,Air Force,74,H,Mountain West Conference,Mountain West Conference
Air Force,77,Fresno St.,70,N,Mountain West Conference,Mountain West Conference
San Diego St.,73,Air Force,60,N,Mountain West Conference,Mountain West Conference
West Virginia,94,Akron,84,H,Big 12 Conference,Mid-American Conference
Akron,57,North Carolina Central,47,H,Mid-American Conference,Mid-Eastern Athletic Conference
Akron,76,South Carolina Upstate,45,H,Mid-American Conference,Big South Conference
Akron,82,Youngstown St.,60,H,Mid-American Conference,Horizon League
Louisville,82,Akron,76,H,Atlantic Coast Conference,Mid-American Conference
Akron,64,Merrimack,47,H,Mid-American Conference,Northeast Conference
Akron,85,Marshall,73,A,Mid-American Conference,Conference USA
Akron,72,Southern,57,H,Mid-American Conference,Southwestern Athletic Conference
Akron,62,Tulane,61,N,Mid-American Conference,American Athletic Conference
Liberty,80,Akron,67,N,Atlantic Sun Conference,Mid-American Conference
Akron,85,Massachusetts,79,H,Mid-American Conference,Atlantic 10 Conference
Akron,69,Eastern Michigan,45,A,Mid-American Conference,Mid-American Conference
Akron,84,Western Michigan,69,H,Mid-American Conference,Mid-American Conference
Akron,75,Ball St.,60,H,Mid-American Conference,Mid-American Conference
Akron,72,Northern Illinois,49,A,Mid-American Conference,Mid-American Conference
Toledo,99,Akron,89,A,Mid-American Conference,Mid-American Conference
Akron,81,Miami (OH),60,A,Mid-American Conference,Mid-American Conference
Akron,88,Ohio,86,A,Mid-American Conference,Mid-American Conference
Buffalo,77,Akron,74,A,Mid-American Conference,Mid-American Conference
Kent St.,68,Akron,67,H,Mid-American Conference,Mid-American Conference
Akron,59,Eastern Michigan,58,H,Mid-American Conference,Mid-American Conference
Akron,74,Bowling Green St.,59,H,Mid-American Conference,Mid-American Conference
Akron,80,Central Michigan,67,A,Mid-American Conference,Mid-American Conference
Akron,71,Western Michigan,67,A,Mid-American Conference,Mid-American Conference
Akron,75,Miami (OH),65,H,Mid-American Conference,Mid-American Conference
Bowling Green St.,78,Akron,60,H,Mid-American Conference,Mid-American Conference
Akron,86,Buffalo,73,A,Mid-American Conference,Mid-American Conference
Akron,74,Ohio,67,H,Mid-American Conference,Mid-American Conference
Akron,79,Kent St.,76,H,Mid-American Conference,Mid-American Conference
Pennsylvania,81,Alabama,80,A,Ivy League,Southeastern Conference
Alabama,78,Florida Atlantic,59,H,Southeastern Conference,Conference USA
Rhode Island,93,Alabama,79,H,Atlantic 10 Conference,Southeastern Conference
Alabama,81,Furman,73,H,Southeastern Conference,Southern Conference
North Carolina,76,Alabama,67,N,Atlantic Coast Conference,Southeastern Conference
Iowa St.,104,Alabama,89,N,Big 12 Conference,Southeastern Conference
Alabama,83,Southern Mississippi,68,N,Southeastern Conference,Conference USA
Alabama,78,Stephen F. Austin,68,H,Southeastern Conference,Southland Conference
Penn St.,73,Alabama,71,H,Big Ten Conference,Southeastern Conference
Alabama,105,Samford,87,A,Southeastern Conference,Southern Conference
Alabama,92,Belmont,72,N,Southeastern Conference,Ohio Valley Conference
Alabama,90,Richmond,78,H,Southeastern Conference,Atlantic 10 Conference
Florida,104,Alabama,98,H,Southeastern Conference,Southeastern Conference
Alabama,90,Mississippi St.,69,H,Southeastern Conference,Southeastern Conference
Kentucky,76,Alabama,67,H,Southeastern Conference,Southeastern Conference
Alabama,83,Auburn,64,H,Southeastern Conference,Southeastern Conference
Alabama,88,Missouri,74,H,Southeastern Conference,Southeastern Conference
Alabama,77,Vanderbilt,62,A,Southeastern Conference,Southeastern Conference
Alabama,77,Kansas St.,74,H,Southeastern Conference,Big 12 Conference
Louisiana St.,90,Alabama,76,H,Southeastern Conference,Southeastern Conference
Arkansas,82,Alabama,78,A,Southeastern Conference,Southeastern Conference
Tennessee,69,Alabama,68,A,Southeastern Conference,Southeastern Conference
Alabama,105,Georgia,102,A,Southeastern Conference,Southeastern Conference
Auburn,95,Alabama,91,H,Southeastern Conference,Southeastern Conference
Alabama,88,Louisiana St.,82,H,Southeastern Conference,Southeastern Conference
Texas A&M,74,Alabama,68,A,Southeastern Conference,Southeastern Conference
Alabama,103,Mississippi,78,A,Southeastern Conference,Southeastern Conference
Mississippi St.,80,Alabama,73,H,Southeastern Conference,Southeastern Conference
Alabama,90,South Carolina,86,H,Southeastern Conference,Southeastern Conference
Vanderbilt,87,Alabama,79,A,Southeastern Conference,Southeastern Conference
Missouri,69,Alabama,50,H,Southeastern Conference,Southeastern Conference
Tennessee St.,106,Alabama A&M,66,H,Ohio Valley Conference,Southwestern Athletic Conference
Alabama-Birmingham,74,Alabama A&M,52,H,Conference USA,Southwestern Athletic Conference
Cincinnati,85,Alabama A&M,53,H,American Athletic Conference,Southwestern Athletic Conference
Miami (OH),79,Alabama A&M,63,H,Mid-American Conference,Southwestern Athletic Conference
Clemson,87,Alabama A&M,51,H,Atlantic Coast Conference,Southwestern Athletic Conference
Alabama A&M,80,Troy,66,H,Southwestern Athletic Conference,Sun Belt Conference
Alabama A&M,67,Jacksonville St.,62,H,Southwestern Athletic Conference,Ohio Valley Conference
Miami (FL),88,Alabama A&M,74,H,Atlantic Coast Conference,Southwestern Athletic Conference
South Alabama,89,Alabama A&M,79,H,Sun Belt Conference,Southwestern Athletic Conference
Alabama A&M,92,North Alabama,80,H,Southwestern Athletic Conference,Atlantic Sun Conference
Notre Dame,82,Alabama A&M,56,H,Atlantic Coast Conference,Southwestern Athletic Conference
Grambling,70,Alabama A&M,60,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama A&M,66,Jackson St.,57,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama A&M,59,Arkansas-Pine Bluff,49,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Mississippi Valley St.,72,Alabama A&M,66,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,65,Alabama A&M,56,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,59,Alabama A&M,58,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,67,Alabama A&M,46,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Texas Southern,82,Alabama A&M,73,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Prairie View,69,Alabama A&M,54,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama A&M,58,Arkansas-Pine Bluff,54,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Mississippi Valley St.,67,Alabama A&M,61,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,61,Alabama A&M,58,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama A&M,71,Alcorn St.,61,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,64,Alabama A&M,37,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Texas Southern,85,Alabama A&M,58,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Prairie View,73,Alabama A&M,62,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama A&M,58,Grambling,57,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Jackson St.,54,Alabama A&M,51,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Prairie View,82,Alabama A&M,60,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Gonzaga,95,Alabama St.,64,H,West Coast Conference,Southwestern Athletic Conference
Missouri St.,59,Alabama St.,50,H,Missouri Valley Conference,Southwestern Athletic Conference
Houston,84,Alabama St.,56,H,American Athletic Conference,Southwestern Athletic Conference
Tennessee,76,Alabama St.,41,H,Southeastern Conference,Southwestern Athletic Conference
Virginia Commonwealth,78,Alabama St.,62,H,Atlantic 10 Conference,Southwestern Athletic Conference
Chattanooga,74,Alabama St.,56,N,Southern Conference,Southwestern Athletic Conference
Alabama St.,67,Chicago St.,54,N,Southwestern Athletic Conference,Western Athletic Conference
South Dakota,73,Alabama St.,59,H,The Summit League,Southwestern Athletic Conference
Kansas St.,86,Alabama St.,41,H,Big 12 Conference,Southwestern Athletic Conference
Boise St.,100,Alabama St.,57,H,Mountain West Conference,Southwestern Athletic Conference
Alabama-Birmingham,71,Alabama St.,63,N,Conference USA,Southwestern Athletic Conference
Austin Peay,80,Alabama St.,69,N,Ohio Valley Conference,Southwestern Athletic Conference
Oregon,98,Alabama St.,59,H,Pacific-12 Conference,Southwestern Athletic Conference
Jackson St.,70,Alabama St.,67,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Grambling,68,Alabama St.,63,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,81,Mississippi Valley St.,75,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Arkansas-Pine Bluff,61,Alabama St.,56,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,65,Alabama A&M,56,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,80,Alabama St.,71,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,63,Alabama St.,60,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,52,Prairie View,49,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,79,Texas Southern,55,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,87,Mississippi Valley St.,74,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,57,Arkansas-Pine Bluff,49,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama St.,61,Alabama A&M,58,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,56,Alabama St.,44,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,80,Alabama St.,77,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Prairie View,65,Alabama St.,58,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Texas Southern,78,Alabama St.,73,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Jackson St.,71,Alabama St.,59,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Grambling,70,Alabama St.,58,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,67,Alabama St.,53,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Lehigh,74,Albany (NY),70,A,Patriot League,America East Conference
Albany (NY),83,Canisius,57,H,America East Conference,Metro Atlantic Athletic Conference
Manhattan,57,Albany (NY),51,H,Metro Atlantic Athletic Conference,America East Conference
Quinnipiac,86,Albany (NY),69,H,Metro Atlantic Athletic Conference,America East Conference
Albany (NY),72,Sacred Heart,65,N,America East Conference,Northeast Conference
Albany (NY),65,Presbyterian,60,N,America East Conference,Big South Conference
Albany (NY),68,American,64,H,America East Conference,Patriot League
Yale,61,Albany (NY),52,A,Ivy League,America East Conference
Bucknell,65,Albany (NY),64,H,Patriot League,America East Conference
Boston College,72,Albany (NY),51,H,Atlantic Coast Conference,America East Conference
Albany (NY),84,Niagara,80,H,America East Conference,Metro Atlantic Athletic Conference
St. John's (NY),85,Albany (NY),57,H,Big East Conference,America East Conference
Monmouth,72,Albany (NY),70,H,Metro Atlantic Athletic Conference,America East Conference
Albany (NY),67,Columbia,66,A,America East Conference,Ivy League
Albany (NY),74,Binghamton,62,A,America East Conference,America East Conference
Albany (NY),76,Maine,70,H,America East Conference,America East Conference
Albany (NY),76,New Hampshire,73,A,America East Conference,America East Conference
Stony Brook,70,Albany (NY),62,H,America East Conference,America East Conference
Albany (NY),101,Massachusetts-Lowell,75,H,America East Conference,America East Conference
Hartford,62,Albany (NY),48,A,America East Conference,America East Conference
Albany (NY),67,Maryland-Baltimore County,63,A,America East Conference,America East Conference
Vermont,86,Albany (NY),75,A,America East Conference,America East Conference
Albany (NY),62,Binghamton,49,H,America East Conference,America East Conference
Hartford,66,Albany (NY),60,H,America East Conference,America East Conference
Albany (NY),66,Maine,60,A,America East Conference,America East Conference
Maryland-Baltimore County,69,Albany (NY),50,A,America East Conference,America East Conference
New Hampshire,68,Albany (NY),56,A,America East Conference,America East Conference
Massachusetts-Lowell,88,Albany (NY),69,H,America East Conference,America East Conference
Stony Brook,52,Albany (NY),49,A,America East Conference,America East Conference
Vermont,85,Albany (NY),62,H,America East Conference,America East Conference
Stony Brook,76,Albany (NY),73,H,America East Conference,America East Conference
DePaul,72,Alcorn St.,54,H,Big East Conference,Southwestern Athletic Conference
Louisiana-Monroe,73,Alcorn St.,72,H,Sun Belt Conference,Southwestern Athletic Conference
Memphis,102,Alcorn St.,56,H,American Athletic Conference,Southwestern Athletic Conference
North Carolina St.,87,Alcorn St.,64,H,Atlantic Coast Conference,Southwestern Athletic Conference
Little Rock,67,Alcorn St.,50,H,Sun Belt Conference,Southwestern Athletic Conference
Tulane,68,Alcorn St.,57,H,American Athletic Conference,Southwestern Athletic Conference
Santa Clara,92,Alcorn St.,57,H,West Coast Conference,Southwestern Athletic Conference
Prairie View,84,Alcorn St.,70,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,95,Texas Southern,80,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Jackson St.,76,Alcorn St.,65,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,87,Grambling,69,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,105,Mississippi Valley St.,73,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,82,Arkansas-Pine Bluff,54,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,59,Alabama A&M,58,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,63,Alabama St.,60,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,93,Alcorn St.,82,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Jackson St.,86,Alcorn St.,57,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Grambling,80,Alcorn St.,71,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,92,Mississippi Valley St.,88,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,60,Arkansas-Pine Bluff,52,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alabama A&M,71,Alcorn St.,61,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,80,Alabama St.,77,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Southern,71,Alcorn St.,57,A,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,80,Prairie View,71,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Alcorn St.,90,Texas Southern,75,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Jackson St.,69,Alcorn St.,52,H,Southwestern Athletic Conference,Southwestern Athletic Conference
Siena,96,American,80,H,Metro Atlantic Athletic Conference,Patriot League
William & Mary,79,American,70,A,Colonial Athletic Association,Patriot League
American,67,George Washington,65,A,Patriot League,Atlantic 10 Conference
St. Francis (PA),79,American,76,H,Northeast Conference,Patriot League
American,86,Howard,69,H,Patriot League,Mid-Eastern Athletic Conference
Albany (NY),68,American,64,H,America East Conference,Patriot League
American,85,Maryland-Baltimore County,61,H,Patriot League,America East Conference
George Mason,68,American,53,H,Atlantic 10 Conference,Patriot League
American,82,Mount St. Mary's,76,A,Patriot League,Northeast Conference
Stony Brook,77,American,74,A,America East Conference,Patriot League
Georgetown,80,American,60,H,Big East Conference,Patriot League
Colgate,65,American,51,H,Patriot League,Patriot League
American,67,Boston University,63,H,Patriot League,Patriot League
American,68,Army,60,A,Patriot League,Patriot League
Lehigh,82,American,73,H,Patriot League,Patriot League
American,61,Bucknell,60,H,Patriot League,Patriot League
American,81,Holy Cross,69,H,Patriot League,Patriot League
American,93,Loyola (MD),91,A,Patriot League,Patriot League
Colgate,79,American,69,A,Patriot League,Patriot League
American,77,Lehigh,56,H,Patriot League,Patriot League
Lafayette,82,American,70,H,Patriot League,Patriot League
American,62,Navy,54,A,Patriot League,Patriot League
American,72,Army,62,H,Patriot League,Patriot League
American,81,Loyola (MD),76,H,Patriot League,Patriot League
Bucknell,72,American,68,H,Patriot League,Patriot League
American,71,Navy,62,H,Patriot League,Patriot League
Boston University,64,American,60,H,Patriot League,Patriot League
American,79,Lafayette,59,H,Patriot League,Patriot League
American,90,Holy Cross,47,A,Patriot League,Patriot League
Bucknell,64,American,59,A,Patriot League,Patriot League
Michigan,79,Appalachian St.,71,H,Big Ten Conference,Sun Belt Conference
Appalachian St.,68,East Carolina,62,H,Sun Belt Conference,American Athletic Conference
Montana St.,59,Appalachian St.,56,N,Big Sky Conference,Sun Belt Conference
Appalachian St.,69,Tennessee Tech,47,N,Sun Belt Conference,Ohio Valley Conference
North Carolina-Greensboro,55,Appalachian St.,41,H,Southern Conference,Sun Belt Conference
Appalachian St.,64,Charlotte,55,H,Sun Belt Conference,Conference USA
East Tennessee St.,78,Appalachian St.,69,H,Southern Conference,Sun Belt Conference
Appalachian St.,81,Howard,59,A,Sun Belt Conference,Mid-Eastern Athletic Conference
Appalachian St.,81,South Alabama,71,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,70,Troy,65,A,Sun Belt Conference,Sun Belt Conference
North Carolina St.,72,Appalachian St.,60,H,Atlantic Coast Conference,Sun Belt Conference
Georgia St.,69,Appalachian St.,60,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,74,Georgia Southern,72,H,Sun Belt Conference,Sun Belt Conference
Louisiana,81,Appalachian St.,73,A,Sun Belt Conference,Sun Belt Conference
Texas-Arlington,66,Appalachian St.,56,H,Sun Belt Conference,Sun Belt Conference
Texas St.,82,Appalachian St.,57,H,Sun Belt Conference,Sun Belt Conference
Appalachian St.,83,Arkansas St.,80,H,Sun Belt Conference,Sun Belt Conference
Little Rock,73,Appalachian St.,57,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,78,Coastal Carolina,58,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,71,Arkansas St.,64,A,Sun Belt Conference,Sun Belt Conference
Little Rock,93,Appalachian St.,86,H,Sun Belt Conference,Sun Belt Conference
Appalachian St.,57,Texas-Arlington,50,H,Sun Belt Conference,Sun Belt Conference
Appalachian St.,60,Texas St.,57,H,Sun Belt Conference,Sun Belt Conference
Georgia St.,76,Appalachian St.,65,H,Sun Belt Conference,Sun Belt Conference
Appalachian St.,62,Georgia Southern,57,A,Sun Belt Conference,Sun Belt Conference
South Alabama,78,Appalachian St.,70,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,68,Troy,59,H,Sun Belt Conference,Sun Belt Conference
Coastal Carolina,84,Appalachian St.,77,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,61,Louisiana-Monroe,57,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,70,Coastal Carolina,65,H,Sun Belt Conference,Sun Belt Conference
Texas St.,85,Appalachian St.,68,H,Sun Belt Conference,Sun Belt Conference
Arizona,91,Northern Arizona,52,H,Pacific-12 Conference,Big Sky Conference
Arizona,90,Illinois,69,H,Pacific-12 Conference,Big Ten Conference
Arizona,87,San Jose St.,39,H,Pacific-12 Conference,Mountain West Conference
Arizona,83,New Mexico St.,53,H,Pacific-12 Conference,Western Athletic Conference
Arizona,71,South Dakota St.,64,H,Pacific-12 Conference,The Summit League
Arizona,104,Cal St. Long Beach,67,H,Pacific-12 Conference,Big West Conference
Arizona,93,Pepperdine,91,N,Pacific-12 Conference,West Coast Conference
Arizona,92,Pennsylvania,82,N,Pacific-12 Conference,Ivy League
Arizona,73,Wake Forest,66,N,Pacific-12 Conference,Atlantic Coast Conference
Baylor,63,Arizona,58,H,Big 12 Conference,Pacific-12 Conference
Arizona,99,Omaha,49,H,Pacific-12 Conference,The Summit League
Gonzaga,84,Arizona,80,A,West Coast Conference,Pacific-12 Conference
St. John's (NY),70,Arizona,67,N,Big East Conference,Pacific-12 Conference
Arizona,75,Arizona St.,47,H,Pacific-12 Conference,Pacific-12 Conference
Oregon,74,Arizona,73,H,Pacific-12 Conference,Pacific-12 Conference
Oregon St.,82,Arizona,65,H,Pacific-12 Conference,Pacific-12 Conference
Arizona,93,Utah,77,H,Pacific-12 Conference,Pacific-12 Conference
Arizona,75,Colorado,54,H,Pacific-12 Conference,Pacific-12 Conference
Arizona St.,66,Arizona,65,H,Pacific-12 Conference,Pacific-12 Conference
Arizona,75,Washington,72,A,Pacific-12 Conference,Pacific-12 Conference
Arizona,66,Washington St.,49,A,Pacific-12 Conference,Pacific-12 Conference
Arizona,85,Southern California,80,H,Pacific-12 Conference,Pacific-12 Conference
UCLA,65,Arizona,52,A,Pacific-12 Conference,Pacific-12 Conference
Arizona,68,University of California,52,A,Pacific-12 Conference,Pacific-12 Conference
Arizona,69,Stanford,60,A,Pacific-12 Conference,Pacific-12 Conference
Arizona,89,Oregon St.,63,H,Pacific-12 Conference,Pacific-12 Conference
Oregon,73,Arizona,72,A,Pacific-12 Conference,Pacific-12 Conference
Southern California,57,Arizona,48,H,Pacific-12 Conference,Pacific-12 Conference
UCLA,69,Arizona,64,H,Pacific-12 Conference,Pacific-12 Conference
Arizona,83,Washington St.,62,H,Pacific-12 Conference,Pacific-12 Conference
Washington,69,Arizona,63,A,Pacific-12 Conference,Pacific-12 Conference
Arizona,77,Washington,70,N,Pacific-12 Conference,Pacific-12 Conference
